Ga0081608_1138	Methylotenera mobilis-123 (UID3888)
Ga0081608_1139	Methylotenera mobilis-123 (UID3888)
Ga0081608_1140	Methylotenera mobilis-123 (UID3888)
Ga0081608_1141	Methylotenera mobilis-123 (UID3888)
Ga0081608_1142	Methylotenera mobilis-123 (UID3888)
Ga0081608_1143	Methylotenera mobilis-123 (UID3888)
Ga0081608_1144	Methylotenera mobilis-123 (UID3888)
Ga0081608_1145	Methylotenera mobilis-123 (UID3888)
Ga0081608_1146	Methylotenera mobilis-123 (UID3888)
Ga0081608_1147	Methylotenera mobilis-123 (UID3888)
Ga0081608_1148	Methylotenera mobilis-123 (UID3888)
Ga0081608_1149	Methylotenera mobilis-123 (UID3888)
Ga0081608_1150	Methylotenera mobilis-123 (UID3888)
Ga0081608_1151	Methylotenera mobilis-123 (UID3888)
Ga0081608_1152	Methylotenera mobilis-123 (UID3888)
Ga0081608_1153	Methylotenera mobilis-123 (UID3888)
Ga0081608_1154	Methylotenera mobilis-123 (UID3888)
Ga0081608_1155	Methylotenera mobilis-123 (UID3888)
Ga0081608_1156	Methylotenera mobilis-123 (UID3888)
Ga0081608_1157	Methylotenera mobilis-123 (UID3888)
Ga0081608_1158	Methylotenera mobilis-123 (UID3888)
Ga0081608_1159	Methylotenera mobilis-123 (UID3888)
Ga0081608_1160	Methylotenera mobilis-123 (UID3888)
Ga0081608_1161	Methylotenera mobilis-123 (UID3888)
Ga0081608_1162	Methylotenera mobilis-123 (UID3888)
Ga0081608_1163	Methylotenera mobilis-123 (UID3888)
Ga0081608_1164	Methylotenera mobilis-123 (UID3888)
Ga0081608_1165	Methylotenera mobilis-123 (UID3888)
Ga0081608_1166	Methylotenera mobilis-123 (UID3888)
Ga0081608_1167	Methylotenera mobilis-123 (UID3888)
Ga0081608_1168	Methylotenera mobilis-123 (UID3888)
Ga0081608_1169	Methylotenera mobilis-123 (UID3888)
Ga0081608_1170	Methylotenera mobilis-123 (UID3888)
Ga0081608_1171	Methylotenera mobilis-123 (UID3888)
Ga0081608_1172	Methylotenera mobilis-123 (UID3888)
Ga0081608_1173	Methylotenera mobilis-123 (UID3888)
Ga0081608_1174	Methylotenera mobilis-123 (UID3888)
Ga0081608_1175	Methylotenera mobilis-123 (UID3888)
Ga0081608_1176	Methylotenera mobilis-123 (UID3888)
Ga0081608_1177	Methylotenera mobilis-123 (UID3888)
Ga0081608_1178	Methylotenera mobilis-123 (UID3888)
Ga0081608_1179	Methylotenera mobilis-123 (UID3888)
Ga0081608_1180	Methylotenera mobilis-123 (UID3888)
Ga0081608_1181	Methylotenera mobilis-123 (UID3888)
Ga0081608_1182	Methylotenera mobilis-123 (UID3888)
Ga0081608_1183	Methylotenera mobilis-123 (UID3888)
Ga0081608_1184	Methylotenera mobilis-123 (UID3888)
Ga0081608_1185	Methylotenera mobilis-123 (UID3888)
Ga0081608_1186	Methylotenera mobilis-123 (UID3888)
Ga0081608_1187	Methylotenera mobilis-123 (UID3888)
Ga0081608_1188	Methylotenera mobilis-123 (UID3888)
Ga0081608_1189	Methylotenera mobilis-123 (UID3888)
Ga0081608_1190	Methylotenera mobilis-123 (UID3888)
Ga0081608_1191	Methylotenera mobilis-123 (UID3888)
Ga0081608_1192	Methylotenera mobilis-123 (UID3888)
Ga0081608_1193	Methylotenera mobilis-123 (UID3888)
Ga0081608_1194	Methylotenera mobilis-123 (UID3888)
Ga0081608_1195	Methylotenera mobilis-123 (UID3888)
Ga0081608_1196	Methylotenera mobilis-123 (UID3888)
Ga0081608_1197	Methylotenera mobilis-123 (UID3888)
Ga0081608_1198	Methylotenera mobilis-123 (UID3888)
Ga0081608_1199	Methylotenera mobilis-123 (UID3888)
Ga0081608_1200	Methylotenera mobilis-123 (UID3888)
Ga0081608_1201	Methylotenera mobilis-123 (UID3888)
Ga0081608_1202	Methylotenera mobilis-123 (UID3888)
Ga0081608_1203	Methylotenera mobilis-123 (UID3888)
Ga0081608_1204	Methylotenera mobilis-123 (UID3888)
Ga0081608_1205	Methylotenera mobilis-123 (UID3888)
Ga0081608_1206	Methylotenera mobilis-123 (UID3888)
Ga0081608_1207	Methylotenera mobilis-123 (UID3888)
